"","Site","Buffer_m","Year","Class","Pixels"
"1","IAAME",10000,2008,"Corn",147345
"2","IAAME",10000,2008,"Soybeans",105498
"3","IAAME",10000,2008,"Pop or Orn Corn",2
"4","IAAME",10000,2008,"Oats",16
"5","IAAME",10000,2008,"Alfalfa",1439
"6","IAAME",10000,2008,"Other Hay/Non Alfalfa",136
"7","IAAME",10000,2008,"Herbs",1
"8","IAAME",10000,2008,"Sod/Grass Seed",18
"9","IAAME",10000,2008,"Fallow/Idle Cropland",42
"10","IAAME",10000,2008,"Open Water",469
"11","IAAME",10000,2008,"Developed/Open Space",27761
"12","IAAME",10000,2008,"Developed/Low Intensity",9808
"13","IAAME",10000,2008,"Developed/Med Intensity",3861
"14","IAAME",10000,2008,"Developed/High Intensity",1061
"15","IAAME",10000,2008,"Barren",183
"16","IAAME",10000,2008,"Deciduous Forest",18497
"17","IAAME",10000,2008,"Evergreen Forest",1
"18","IAAME",10000,2008,"Grassland/Pasture",32296
"19","IAAME",10000,2008,"Woody Wetlands",412
"20","IAAME",10000,2008,"Herbaceous Wetlands",195
"21","IAAME",10000,2009,"Corn",138338
"22","IAAME",10000,2009,"Soybeans",110295
"23","IAAME",10000,2009,"Pop or Orn Corn",9
"24","IAAME",10000,2009,"Barley",5
"25","IAAME",10000,2009,"Oats",529
"26","IAAME",10000,2009,"Alfalfa",863
"27","IAAME",10000,2009,"Other Hay/Non Alfalfa",55
"28","IAAME",10000,2009,"Peas",1
"29","IAAME",10000,2009,"Fallow/Idle Cropland",9
"30","IAAME",10000,2009,"Open Water",418
"31","IAAME",10000,2009,"Developed/Open Space",27991
"32","IAAME",10000,2009,"Developed/Low Intensity",10026
"33","IAAME",10000,2009,"Developed/Med Intensity",3910
"34","IAAME",10000,2009,"Developed/High Intensity",1051
"35","IAAME",10000,2009,"Barren",197
"36","IAAME",10000,2009,"Deciduous Forest",18353
"37","IAAME",10000,2009,"Evergreen Forest",1
"38","IAAME",10000,2009,"Grassland/Pasture",36471
"39","IAAME",10000,2009,"Woody Wetlands",422
"40","IAAME",10000,2009,"Herbaceous Wetlands",97
"41","IAAME",10000,2010,"Corn",148772
"42","IAAME",10000,2010,"Sorghum",2
"43","IAAME",10000,2010,"Soybeans",105628
"44","IAAME",10000,2010,"Oats",110
"45","IAAME",10000,2010,"Alfalfa",1306
"46","IAAME",10000,2010,"Other Hay/Non Alfalfa",408
"47","IAAME",10000,2010,"Other Crops",2
"48","IAAME",10000,2010,"Sod/Grass Seed",6
"49","IAAME",10000,2010,"Fallow/Idle Cropland",1
"50","IAAME",10000,2010,"Forest",14
"51","IAAME",10000,2010,"Barren",707
"52","IAAME",10000,2010,"Wetlands",21
"53","IAAME",10000,2010,"Open Water",343
"54","IAAME",10000,2010,"Developed/Open Space",25804
"55","IAAME",10000,2010,"Developed/Low Intensity",9311
"56","IAAME",10000,2010,"Developed/Med Intensity",2614
"57","IAAME",10000,2010,"Developed/High Intensity",874
"58","IAAME",10000,2010,"Deciduous Forest",18909
"59","IAAME",10000,2010,"Evergreen Forest",2
"60","IAAME",10000,2010,"Grassland/Pasture",33599
"61","IAAME",10000,2010,"Woody Wetlands",515
"62","IAAME",10000,2010,"Herbaceous Wetlands",93
"63","IAAME",10000,2011,"Corn",146642
"64","IAAME",10000,2011,"Soybeans",107174
"65","IAAME",10000,2011,"Rye",41
"66","IAAME",10000,2011,"Oats",380
"67","IAAME",10000,2011,"Alfalfa",3916
"68","IAAME",10000,2011,"Other Hay/Non Alfalfa",1211
"69","IAAME",10000,2011,"Clover/Wildflowers",1
"70","IAAME",10000,2011,"Sod/Grass Seed",13
"71","IAAME",10000,2011,"Fallow/Idle Cropland",4
"72","IAAME",10000,2011,"Barren",371
"73","IAAME",10000,2011,"Open Water",509
"74","IAAME",10000,2011,"Developed/Open Space",28404
"75","IAAME",10000,2011,"Developed/Low Intensity",9663
"76","IAAME",10000,2011,"Developed/Med Intensity",3184
"77","IAAME",10000,2011,"Developed/High Intensity",1026
"78","IAAME",10000,2011,"Deciduous Forest",19685
"79","IAAME",10000,2011,"Evergreen Forest",21
"80","IAAME",10000,2011,"Grassland/Pasture",26259
"81","IAAME",10000,2011,"Woody Wetlands",327
"82","IAAME",10000,2011,"Herbaceous Wetlands",210
"83","IAAME",10000,2012,"Corn",160086
"84","IAAME",10000,2012,"Soybeans",89214
"85","IAAME",10000,2012,"Sweet Corn",1
"86","IAAME",10000,2012,"Pop or Orn Corn",11
