PRISM Time Series Data
Locations: 50
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2018-07-01 - 2018-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2019-Jan-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
IAAME,-93.7777,42.0180,1088.0,2018-07-01,2.01,68.9,89.6
IAAME,-93.7777,42.0180,1088.0,2018-07-02,0.00,61.1,78.9
IAAME,-93.7777,42.0180,1088.0,2018-07-03,0.00,64.3,82.7
IAAME,-93.7777,42.0180,1088.0,2018-07-04,0.00,69.0,88.4
IAAME,-93.7777,42.0180,1088.0,2018-07-05,1.65,69.2,91.0
IAAME,-93.7777,42.0180,1088.0,2018-07-06,0.00,60.7,84.3
IAAME,-93.7777,42.0180,1088.0,2018-07-07,0.00,60.3,81.3
IAAME,-93.7777,42.0180,1088.0,2018-07-08,0.00,60.4,80.7
IAAME,-93.7777,42.0180,1088.0,2018-07-09,0.00,62.1,83.6
IAAME,-93.7777,42.0180,1088.0,2018-07-10,0.00,66.0,90.2
IAAME,-93.7777,42.0180,1088.0,2018-07-11,0.00,68.3,87.5
IAAME,-93.7777,42.0180,1088.0,2018-07-12,0.00,70.8,90.8
IAAME,-93.7777,42.0180,1088.0,2018-07-13,0.00,72.6,93.4
IAAME,-93.7777,42.0180,1088.0,2018-07-14,0.26,70.7,88.7
IAAME,-93.7777,42.0180,1088.0,2018-07-15,0.00,68.1,83.6
IAAME,-93.7777,42.0180,1088.0,2018-07-16,0.00,67.2,87.1
IAAME,-93.7777,42.0180,1088.0,2018-07-17,0.00,62.1,82.8
IAAME,-93.7777,42.0180,1088.0,2018-07-18,0.00,60.6,85.1
IAAME,-93.7777,42.0180,1088.0,2018-07-19,0.03,65.9,84.4
IAAME,-93.7777,42.0180,1088.0,2018-07-20,0.00,66.3,82.7
IAAME,-93.7777,42.0180,1088.0,2018-07-21,0.00,63.5,79.3
IAAME,-93.7777,42.0180,1088.0,2018-07-22,0.00,61.7,81.0
IAAME,-93.7777,42.0180,1088.0,2018-07-23,0.00,61.0,81.4
IAAME,-93.7777,42.0180,1088.0,2018-07-24,0.00,61.7,83.6
IAAME,-93.7777,42.0180,1088.0,2018-07-25,0.00,59.7,83.0
IAAME,-93.7777,42.0180,1088.0,2018-07-26,0.41,59.1,83.5
IAAME,-93.7777,42.0180,1088.0,2018-07-27,0.00,53.9,77.2
IAAME,-93.7777,42.0180,1088.0,2018-07-28,0.00,56.4,75.7
IAAME,-93.7777,42.0180,1088.0,2018-07-29,0.00,58.0,75.3
IAAME,-93.7777,42.0180,1088.0,2018-07-30,0.00,56.1,78.5
IAAME,-93.7777,42.0180,1088.0,2018-07-31,0.01,56.7,79.6
IAAME,-93.7777,42.0180,1088.0,2018-08-01,0.00,58.7,83.1
IAAME,-93.7777,42.0180,1088.0,2018-08-02,1.03,56.8,84.6
IAAME,-93.7777,42.0180,1088.0,2018-08-03,0.00,58.4,77.6
IAAME,-93.7777,42.0180,1088.0,2018-08-04,0.00,63.0,90.3
IAAME,-93.7777,42.0180,1088.0,2018-08-05,0.20,65.9,84.9
IAAME,-93.7777,42.0180,1088.0,2018-08-06,1.29,65.9,85.9
IAAME,-93.7777,42.0180,1088.0,2018-08-07,0.70,65.2,82.0
IAAME,-93.7777,42.0180,1088.0,2018-08-08,0.04,58.9,81.0
IAAME,-93.7777,42.0180,1088.0,2018-08-09,0.00,61.3,85.2
IAAME,-93.7777,42.0180,1088.0,2018-08-10,0.00,64.1,88.3
IAAME,-93.7777,42.0180,1088.0,2018-08-11,0.00,61.8,84.4
IAAME,-93.7777,42.0180,1088.0,2018-08-12,0.00,61.2,83.5
IAAME,-93.7777,42.0180,1088.0,2018-08-13,0.00,62.4,86.8
IAAME,-93.7777,42.0180,1088.0,2018-08-14,0.00,64.6,87.9
IAAME,-93.7777,42.0180,1088.0,2018-08-15,0.19,66.2,79.5
IAAME,-93.7777,42.0180,1088.0,2018-08-16,0.06,66.0,82.4
IAAME,-93.7777,42.0180,1088.0,2018-08-17,0.75,63.9,79.0
IAAME,-93.7777,42.0180,1088.0,2018-08-18,0.00,62.7,83.0
IAAME,-93.7777,42.0180,1088.0,2018-08-19,0.00,63.7,83.3
IAAME,-93.7777,42.0180,1088.0,2018-08-20,1.23,65.9,80.5
IAAME,-93.7777,42.0180,1088.0,2018-08-21,0.96,59.9,72.4
IAAME,-93.7777,42.0180,1088.0,2018-08-22,0.00,53.5,72.5
IAAME,-93.7777,42.0180,1088.0,2018-08-23,0.00,53.5,76.1
IAAME,-93.7777,42.0180,1088.0,2018-08-24,0.02,55.9,76.2
IAAME,-93.7777,42.0180,1088.0,2018-08-25,0.00,63.2,80.4
IAAME,-93.7777,42.0180,1088.0,2018-08-26,0.00,64.8,86.0
IAAME,-93.7777,42.0180,1088.0,2018-08-27,0.21,70.5,81.9
IAAME,-93.7777,42.0180,1088.0,2018-08-28,0.01,71.4,87.4
IAAME,-93.7777,42.0180,1088.0,2018-08-29,1.02,53.1,80.6
IAAME,-93.7777,42.0180,1088.0,2018-08-30,0.00,53.7,72.3
IAAME,-93.7777,42.0180,1088.0,2018-08-31,0.42,55.7,75.6
IAAME,-93.7777,42.0180,1088.0,2018-09-01,0.47,67.5,83.6
IAAME,-93.7777,42.0180,1088.0,2018-09-02,1.39,67.0,82.3
IAAME,-93.7777,42.0180,1088.0,2018-09-03,0.55,67.8,79.3
IAAME,-93.7777,42.0180,1088.0,2018-09-04,0.20,69.0,76.1
IAAME,-93.7777,42.0180,1088.0,2018-09-05,0.85,68.5,85.2
IAAME,-93.7777,42.0180,1088.0,2018-09-06,0.43,59.8,73.4
IAAME,-93.7777,42.0180,1088.0,2018-09-07,0.00,59.6,75.0
IAAME,-93.7777,42.0180,1088.0,2018-09-08,0.00,53.6,66.5
IAAME,-93.7777,42.0180,1088.0,2018-09-09,0.00,50.6,73.1
IAAME,-93.7777,42.0180,1088.0,2018-09-10,0.00,48.0,73.7
IAAME,-93.7777,42.0180,1088.0,2018-09-11,0.00,49.8,77.6
IAAME,-93.7777,42.0180,1088.0,2018-09-12,0.00,56.5,80.8
IAAME,-93.7777,42.0180,1088.0,2018-09-13,0.00,58.5,81.2
IAAME,-93.7777,42.0180,1088.0,2018-09-14,0.00,62.2,83.8
IAAME,-93.7777,42.0180,1088.0,2018-09-15,0.00,65.6,87.7
IAAME,-93.7777,42.0180,1088.0,2018-09-16,0.00,65.1,90.3
IAAME,-93.7777,42.0180,1088.0,2018-09-17,0.00,65.7,87.2
IAAME,-93.7777,42.0180,1088.0,2018-09-18,0.00,66.5,90.9
IAAME,-93.7777,42.0180,1088.0,2018-09-19,0.22,62.3,78.0
IAAME,-93.7777,42.0180,1088.0,2018-09-20,0.48,64.5,78.5
IAAME,-93.7777,42.0180,1088.0,2018-09-21,0.69,57.2,90.8
IAAME,-93.7777,42.0180,1088.0,2018-09-22,0.00,41.5,63.3
IAAME,-93.7777,42.0180,1088.0,2018-09-23,0.00,42.9,67.7
IAAME,-93.7777,42.0180,1088.0,2018-09-24,0.00,48.4,76.1
IAAME,-93.7777,42.0180,1088.0,2018-09-25,0.00,52.1,78.2
IAAME,-93.7777,42.0180,1088.0,2018-09-26,0.94,45.2,60.2
IAAME,-93.7777,42.0180,1088.0,2018-09-27,0.00,46.2,65.1
IAAME,-93.7777,42.0180,1088.0,2018-09-28,0.02,47.4,71.5
IAAME,-93.7777,42.0180,1088.0,2018-09-29,0.02,39.1,51.3
IAAME,-93.7777,42.0180,1088.0,2018-09-30,0.33,43.7,49.4
IAAME,-93.7777,42.0180,1088.0,2018-10-01,0.52,46.6,50.7
IAAME,-93.7777,42.0180,1088.0,2018-10-02,1.09,48.2,55.1
IAAME,-93.7777,42.0180,1088.0,2018-10-03,0.02,48.2,69.2
IAAME,-93.7777,42.0180,1088.0,2018-10-04,0.00,37.6,86.2
IAAME,-93.7777,42.0180,1088.0,2018-10-05,0.10,37.5,56.5
IAAME,-93.7777,42.0180,1088.0,2018-10-06,0.23,47.9,56.1
IAAME,-93.7777,42.0180,1088.0,2018-10-07,0.33,45.1,49.1
IAAME,-93.7777,42.0180,1088.0,2018-10-08,0.57,46.0,55.6
IAAME,-93.7777,42.0180,1088.0,2018-10-09,1.29,54.6,70.5
IAAME,-93.7777,42.0180,1088.0,2018-10-10,0.32,53.9,68.3
IAAME,-93.7777,42.0180,1088.0,2018-10-11,0.00,36.1,52.5
IAAME,-93.7777,42.0180,1088.0,2018-10-12,0.00,32.6,45.3
IAAME,-93.7777,42.0180,1088.0,2018-10-13,0.00,34.8,43.8
IAAME,-93.7777,42.0180,1088.0,2018-10-14,0.00,41.2,55.2
IAAME,-93.7777,42.0180,1088.0,2018-10-15,0.15,31.0,43.2
IAAME,-93.7777,42.0180,1088.0,2018-10-16,0.00,32.1,47.0
IAAME,-93.7777,42.0180,1088.0,2018-10-17,0.00,33.9,63.1
IAAME,-93.7777,42.0180,1088.0,2018-10-18,0.00,33.2,54.1
IAAME,-93.7777,42.0180,1088.0,2018-10-19,0.11,35.9,68.0
IAAME,-93.7777,42.0180,1088.0,2018-10-20,0.00,43.3,68.5
IAAME,-93.7777,42.0180,1088.0,2018-10-21,0.00,25.3,47.1
IAAME,-93.7777,42.0180,1088.0,2018-10-22,0.00,28.0,60.8
IAAME,-93.7777,42.0180,1088.0,2018-10-23,0.00,30.6,66.8
IAAME,-93.7777,42.0180,1088.0,2018-10-24,0.00,28.5,55.2
IAAME,-93.7777,42.0180,1088.0,2018-10-25,0.00,28.7,57.9
IAAME,-93.7777,42.0180,1088.0,2018-10-26,0.00,39.2,53.1
IAAME,-93.7777,42.0180,1088.0,2018-10-27,0.00,36.0,54.7
IAAME,-93.7777,42.0180,1088.0,2018-10-28,0.03,35.6,66.9
IAAME,-93.7777,42.0180,1088.0,2018-10-29,0.00,32.7,59.5
IAAME,-93.7777,42.0180,1088.0,2018-10-30,0.00,33.1,63.4
IAAME,-93.7777,42.0180,1088.0,2018-10-31,0.00,37.4,57.8
IAAME,-93.7777,42.0180,1088.0,2018-11-01,0.00,32.7,58.4
IAAME,-93.7777,42.0180,1088.0,2018-11-02,0.00,33.3,58.6
IAAME,-93.7777,42.0180,1088.0,2018-11-03,0.01,36.5,53.2
IAAME,-93.7777,42.0180,1088.0,2018-11-04,0.97,39.8,44.3
IAAME,-93.7777,42.0180,1088.0,2018-11-05,0.11,36.4,42.7
IAAME,-93.7777,42.0180,1088.0,2018-11-06,0.37,38.5,45.3
IAAME,-93.7777,42.0180,1088.0,2018-11-07,0.00,28.2,39.6
IAAME,-93.7777,42.0180,1088.0,2018-11-08,0.00,28.0,33.5
IAAME,-93.7777,42.0180,1088.0,2018-11-09,0.00,26.0,32.3
IAAME,-93.7777,42.0180,1088.0,2018-11-10,0.00,10.1,26.8
IAAME,-93.7777,42.0180,1088.0,2018-11-11,0.00,10.2,28.1
IAAME,-93.7777,42.0180,1088.0,2018-11-12,0.00,19.9,40.7
IAAME,-93.7777,42.0180,1088.0,2018-11-13,0.00,9.7,24.4
IAAME,-93.7777,42.0180,1088.0,2018-11-14,0.00,10.0,30.6
IAAME,-93.7777,42.0180,1088.0,2018-11-15,0.00,19.9,42.5
IAAME,-93.7777,42.0180,1088.0,2018-11-16,0.00,21.7,47.5
IAAME,-93.7777,42.0180,1088.0,2018-11-17,0.21,29.3,44.1
IAAME,-93.7777,42.0180,1088.0,2018-11-18,0.00,6.2,29.4
IAAME,-93.7777,42.0180,1088.0,2018-11-19,0.00,6.9,31.0
IAAME,-93.7777,42.0180,1088.0,2018-11-20,0.00,17.4,33.5
IAAME,-93.7777,42.0180,1088.0,2018-11-21,0.00,16.7,36.3
IAAME,-93.7777,42.0180,1088.0,2018-11-22,0.00,23.1,36.3
IAAME,-93.7777,42.0180,1088.0,2018-11-23,0.00,28.0,52.4
IAAME,-93.7777,42.0180,1088.0,2018-11-24,0.20,33.4,45.0
IAAME,-93.7777,42.0180,1088.0,2018-11-25,0.00,30.1,49.7
IAAME,-93.7777,42.0180,1088.0,2018-11-26,0.00,16.3,29.9
IAAME,-93.7777,42.0180,1088.0,2018-11-27,0.00,10.4,19.4
IAAME,-93.7777,42.0180,1088.0,2018-11-28,0.00,10.7,26.7
IAAME,-93.7777,42.0180,1088.0,2018-11-29,0.00,18.9,27.6
IAAME,-93.7777,42.0180,1088.0,2018-11-30,0.00,18.7,35.6
IAAME,-93.7777,42.0180,1088.0,2018-12-01,0.09,24.1,38.2
IAAME,-93.7777,42.0180,1088.0,2018-12-02,0.97,31.9,36.7
IAAME,-93.7777,42.0180,1088.0,2018-12-03,0.07,27.0,33.0
IAAME,-93.7777,42.0180,1088.0,2018-12-04,0.00,22.9,28.4
IAAME,-93.7777,42.0180,1088.0,2018-12-05,0.00,18.2,24.1
IAAME,-93.7777,42.0180,1088.0,2018-12-06,0.00,18.4,36.4
IAAME,-93.7777,42.0180,1088.0,2018-12-07,0.00,8.5,24.4
IAAME,-93.7777,42.0180,1088.0,2018-12-08,0.00,12.5,28.1
IAAME,-93.7777,42.0180,1088.0,2018-12-09,0.00,14.2,32.1
IAAME,-93.7777,42.0180,1088.0,2018-12-10,0.00,11.9,32.2
IAAME,-93.7777,42.0180,1088.0,2018-12-11,0.00,12.1,31.4
IAAME,-93.7777,42.0180,1088.0,2018-12-12,0.00,18.0,40.1
IAAME,-93.7777,42.0180,1088.0,2018-12-13,0.00,20.6,34.5
IAAME,-93.7777,42.0180,1088.0,2018-12-14,0.00,25.6,35.2
IAAME,-93.7777,42.0180,1088.0,2018-12-15,0.00,21.6,43.4
IAAME,-93.7777,42.0180,1088.0,2018-12-16,0.00,20.6,48.3
IAAME,-93.7777,42.0180,1088.0,2018-12-17,0.00,24.1,45.5
IAAME,-93.7777,42.0180,1088.0,2018-12-18,0.00,24.2,45.3
IAAME,-93.7777,42.0180,1088.0,2018-12-19,0.00,30.1,53.1
IAAME,-93.7777,42.0180,1088.0,2018-12-20,0.00,34.6,51.7
IAAME,-93.7777,42.0180,1088.0,2018-12-21,0.00,24.6,35.3
IAAME,-93.7777,42.0180,1088.0,2018-12-22,0.00,20.5,27.1
IAAME,-93.7777,42.0180,1088.0,2018-12-23,0.00,20.3,34.9
IAAME,-93.7777,42.0180,1088.0,2018-12-24,0.00,16.8,36.4
IAAME,-93.7777,42.0180,1088.0,2018-12-25,0.00,18.0,34.4
IAAME,-93.7777,42.0180,1088.0,2018-12-26,0.00,25.6,42.3
IAAME,-93.7777,42.0180,1088.0,2018-12-27,1.18,28.7,40.9
IAAME,-93.7777,42.0180,1088.0,2018-12-28,0.26,23.1,49.5
IAAME,-93.7777,42.0180,1088.0,2018-12-29,0.02,11.4,20.7
IAAME,-93.7777,42.0180,1088.0,2018-12-30,0.00,10.7,19.5
IAAME,-93.7777,42.0180,1088.0,2018-12-31,0.00,21.7,37.9

IAKAN,-93.7951,42.9308,1178.0,2018-07-01,3.27,67.3,87.6
IAKAN,-93.7951,42.9308,1178.0,2018-07-02,0.08,60.7,76.3
IAKAN,-93.7951,42.9308,1178.0,2018-07-03,0.00,64.0,82.7
IAKAN,-93.7951,42.9308,1178.0,2018-07-04,0.00,67.6,87.2
IAKAN,-93.7951,42.9308,1178.0,2018-07-05,0.44,66.9,89.6
IAKAN,-93.7951,42.9308,1178.0,2018-07-06,0.00,58.9,81.7
IAKAN,-93.7951,42.9308,1178.0,2018-07-07,0.00,60.1,79.9
IAKAN,-93.7951,42.9308,1178.0,2018-07-08,0.00,61.3,80.6
IAKAN,-93.7951,42.9308,1178.0,2018-07-09,0.00,62.8,83.4
IAKAN,-93.7951,42.9308,1178.0,2018-07-10,0.00,64.4,89.2
IAKAN,-93.7951,42.9308,1178.0,2018-07-11,0.00,66.9,85.4
IAKAN,-93.7951,42.9308,1178.0,2018-07-12,0.00,70.0,89.2
IAKAN,-93.7951,42.9308,1178.0,2018-07-13,0.03,70.2,92.6
IAKAN,-93.7951,42.9308,1178.0,2018-07-14,0.81,68.4,84.2
IAKAN,-93.7951,42.9308,1178.0,2018-07-15,0.00,67.3,81.0
IAKAN,-93.7951,42.9308,1178.0,2018-07-16,0.00,63.9,86.2
IAKAN,-93.7951,42.9308,1178.0,2018-07-17,0.00,59.4,82.1
IAKAN,-93.7951,42.9308,1178.0,2018-07-18,0.00,61.9,83.9
IAKAN,-93.7951,42.9308,1178.0,2018-07-19,0.39,64.7,83.3
IAKAN,-93.7951,42.9308,1178.0,2018-07-20,0.48,64.7,78.8
IAKAN,-93.7951,42.9308,1178.0,2018-07-21,0.02,62.2,78.0
IAKAN,-93.7951,42.9308,1178.0,2018-07-22,0.00,60.6,79.1
IAKAN,-93.7951,42.9308,1178.0,2018-07-23,0.00,59.7,80.0
IAKAN,-93.7951,42.9308,1178.0,2018-07-24,0.00,58.7,83.4
IAKAN,-93.7951,42.9308,1178.0,2018-07-25,0.00,58.6,82.0
IAKAN,-93.7951,42.9308,1178.0,2018-07-26,0.24,56.8,82.4
