PRISM Time Series Data
Locations: 51
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2007-07-01 - 2007-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2018-Mar-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
LA_CHA,-91.7027,32.1006,69.0,2007-07-01,0.00,71.5,94.5
LA_CHA,-91.7027,32.1006,69.0,2007-07-02,0.00,70.5,93.7
LA_CHA,-91.7027,32.1006,69.0,2007-07-03,0.44,71.2,90.5
LA_CHA,-91.7027,32.1006,69.0,2007-07-04,0.04,71.2,88.8
LA_CHA,-91.7027,32.1006,69.0,2007-07-05,0.42,72.0,88.8
LA_CHA,-91.7027,32.1006,69.0,2007-07-06,0.93,70.0,83.3
LA_CHA,-91.7027,32.1006,69.0,2007-07-07,1.04,70.3,81.2
LA_CHA,-91.7027,32.1006,69.0,2007-07-08,0.12,70.9,84.6
LA_CHA,-91.7027,32.1006,69.0,2007-07-09,0.32,73.1,90.2
LA_CHA,-91.7027,32.1006,69.0,2007-07-10,1.51,70.9,90.3
LA_CHA,-91.7027,32.1006,69.0,2007-07-11,0.00,74.0,93.2
LA_CHA,-91.7027,32.1006,69.0,2007-07-12,1.78,73.9,92.7
LA_CHA,-91.7027,32.1006,69.0,2007-07-13,0.01,72.6,94.3
LA_CHA,-91.7027,32.1006,69.0,2007-07-14,0.98,71.3,90.8
LA_CHA,-91.7027,32.1006,69.0,2007-07-15,1.16,70.5,80.6
LA_CHA,-91.7027,32.1006,69.0,2007-07-16,0.28,72.2,83.9
LA_CHA,-91.7027,32.1006,69.0,2007-07-17,0.58,71.5,87.1
LA_CHA,-91.7027,32.1006,69.0,2007-07-18,1.56,69.7,90.0
LA_CHA,-91.7027,32.1006,69.0,2007-07-19,0.00,71.6,91.7
LA_CHA,-91.7027,32.1006,69.0,2007-07-20,0.02,71.8,92.7
LA_CHA,-91.7027,32.1006,69.0,2007-07-21,0.16,70.9,92.2
LA_CHA,-91.7027,32.1006,69.0,2007-07-22,0.02,66.5,90.3
LA_CHA,-91.7027,32.1006,69.0,2007-07-23,0.00,62.4,88.0
LA_CHA,-91.7027,32.1006,69.0,2007-07-24,0.00,64.2,87.6
LA_CHA,-91.7027,32.1006,69.0,2007-07-25,0.04,69.1,90.9
LA_CHA,-91.7027,32.1006,69.0,2007-07-26,0.00,69.5,91.0
LA_CHA,-91.7027,32.1006,69.0,2007-07-27,0.00,70.7,92.1
LA_CHA,-91.7027,32.1006,69.0,2007-07-28,0.00,71.0,91.8
LA_CHA,-91.7027,32.1006,69.0,2007-07-29,0.00,72.5,91.1
LA_CHA,-91.7027,32.1006,69.0,2007-07-30,0.07,73.6,93.4
LA_CHA,-91.7027,32.1006,69.0,2007-07-31,0.00,74.3,93.8
LA_CHA,-91.7027,32.1006,69.0,2007-08-01,0.69,72.1,90.9
LA_CHA,-91.7027,32.1006,69.0,2007-08-02,0.16,71.4,94.6
LA_CHA,-91.7027,32.1006,69.0,2007-08-03,0.00,71.3,94.1
LA_CHA,-91.7027,32.1006,69.0,2007-08-04,0.00,72.9,97.4
LA_CHA,-91.7027,32.1006,69.0,2007-08-05,0.12,73.9,96.8
LA_CHA,-91.7027,32.1006,69.0,2007-08-06,0.00,75.7,94.3
LA_CHA,-91.7027,32.1006,69.0,2007-08-07,0.00,75.5,95.5
LA_CHA,-91.7027,32.1006,69.0,2007-08-08,0.00,74.9,96.4
LA_CHA,-91.7027,32.1006,69.0,2007-08-09,0.00,74.5,97.8
LA_CHA,-91.7027,32.1006,69.0,2007-08-10,0.00,72.7,98.1
LA_CHA,-91.7027,32.1006,69.0,2007-08-11,0.00,72.7,100.8
LA_CHA,-91.7027,32.1006,69.0,2007-08-12,0.00,72.5,101.3
LA_CHA,-91.7027,32.1006,69.0,2007-08-13,0.00,71.0,101.3
