PRISM Time Series Data
Locations: 50
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2017-07-01 - 2017-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2019-Jan-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
IAAME,-93.7777,42.0180,1088.0,2017-07-01,0.06,57.4,79.1
IAAME,-93.7777,42.0180,1088.0,2017-07-02,0.00,60.6,78.6
IAAME,-93.7777,42.0180,1088.0,2017-07-03,0.00,63.3,83.5
IAAME,-93.7777,42.0180,1088.0,2017-07-04,0.03,68.6,87.8
IAAME,-93.7777,42.0180,1088.0,2017-07-05,0.00,62.8,87.7
IAAME,-93.7777,42.0180,1088.0,2017-07-06,0.00,67.7,88.6
IAAME,-93.7777,42.0180,1088.0,2017-07-07,0.00,67.0,90.2
IAAME,-93.7777,42.0180,1088.0,2017-07-08,0.00,60.8,83.9
IAAME,-93.7777,42.0180,1088.0,2017-07-09,0.00,60.7,84.8
IAAME,-93.7777,42.0180,1088.0,2017-07-10,0.00,68.8,90.0
IAAME,-93.7777,42.0180,1088.0,2017-07-11,0.01,65.0,85.3
IAAME,-93.7777,42.0180,1088.0,2017-07-12,0.00,68.4,89.7
IAAME,-93.7777,42.0180,1088.0,2017-07-13,0.09,65.9,88.4
IAAME,-93.7777,42.0180,1088.0,2017-07-14,0.00,57.2,82.4
IAAME,-93.7777,42.0180,1088.0,2017-07-15,0.00,61.0,81.4
IAAME,-93.7777,42.0180,1088.0,2017-07-16,0.00,66.2,90.7
IAAME,-93.7777,42.0180,1088.0,2017-07-17,0.00,67.9,89.1
IAAME,-93.7777,42.0180,1088.0,2017-07-18,0.00,70.4,88.3
IAAME,-93.7777,42.0180,1088.0,2017-07-19,0.00,71.1,87.3
IAAME,-93.7777,42.0180,1088.0,2017-07-20,0.00,74.8,93.0
IAAME,-93.7777,42.0180,1088.0,2017-07-21,0.75,70.7,94.5
IAAME,-93.7777,42.0180,1088.0,2017-07-22,0.06,72.0,87.7
IAAME,-93.7777,42.0180,1088.0,2017-07-23,0.00,68.1,85.3
IAAME,-93.7777,42.0180,1088.0,2017-07-24,0.00,57.9,82.6
IAAME,-93.7777,42.0180,1088.0,2017-07-25,0.00,61.3,80.3
