State,Year,SiteName,SiteID,TrapNum,TrapID,TrapType,Date,DateCode,Week,Julian,SampleID,SpeciesName,Count,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-06-22,20150622,26,173,ID_2015_S01_T01_20150622,_dummy_,-1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-06-22,20150622,26,173,ID_2015_S01_T01_20150622,Pemphigus sp.,9,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-06-29,20150629,27,180,ID_2015_S01_T01_20150629,_dummy_,-1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-06-29,20150629,27,180,ID_2015_S01_T01_20150629,Aphis asclepiadis,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-06-29,20150629,27,180,ID_2015_S01_T01_20150629,Pemphigus sp.,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-06,20150706,28,187,ID_2015_S01_T01_20150706,_dummy_,-1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-06,20150706,28,187,ID_2015_S01_T01_20150706,Capitophorus elaeagni,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-06,20150706,28,187,ID_2015_S01_T01_20150706,Lipaphis pseudobrassicae,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-06,20150706,28,187,ID_2015_S01_T01_20150706,Metopolophium dirhodum,2,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-13,20150713,29,194,ID_2015_S01_T01_20150713,_dummy_,-1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-13,20150713,29,194,ID_2015_S01_T01_20150713,Capitophorus elaeagni,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-13,20150713,29,194,ID_2015_S01_T01_20150713,Metopolophium dirhodum,3,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-13,20150713,29,194,ID_2015_S01_T01_20150713,Rhopalosiphum padi,9,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-20,20150720,30,201,ID_2015_S01_T01_20150720,_dummy_,-1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-20,20150720,30,201,ID_2015_S01_T01_20150720,Metopolophium dirhodum,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-20,20150720,30,201,ID_2015_S01_T01_20150720,Rhopalosiphum padi,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-27,20150727,31,208,ID_2015_S01_T01_20150727,_dummy_,-1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-27,20150727,31,208,ID_2015_S01_T01_20150727,Aphis fabae,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-27,20150727,31,208,ID_2015_S01_T01_20150727,Hyalopterus pruni,1,,,,,,,,
ID,2015,S01,ID_2015_S01,1,ID_2015_S01_T01,P,2015-07-27,20150727,31,208,ID_2015_S01_T01_20150727,Metopolophium dirhodum,2,,,,,,,,
