SiteID,State,StateName,SiteName,SiteCode,Lat,Lon,Confirmed,OnProperty,Collector,Inception
IAAME,IA,Iowa,Ames,AME,42.017973,-93.777653,Y,Iowa State University (ISU) Bio Century Farm near Ames,E. Hodgson,2005
IAKAN,IA,Iowa,Kanawha,KAN,42.93082778,-93.79509444,Y,Iowa State University (ISU) Northern Research Farm,M. Schnabel,2016
IAMCN,IA,Iowa,McNay,MCN,40.972683,-93.423704,Y,ISU McNay Research and Demonstration Farm,N. Piekema,2005
IANAS,IA,Iowa,Nashua,NAS,42.93146667,-92.57433333,Y,ISU NE Research and Demonstration Farm,K. Penckiosky,2005
IASUT,IA,Iowa,Sutherland,SUT,42.92618266,-95.53896236,Y,ISU NW Research and Demonstration Farm,"D. Haden, J. Sievers",2005
ILBRO,IL,Illinois,Brownstown,BRO,38.953522,-88.958316,Y,Brownstown Agronomy Research Center,Lindell Deal,2005
ILDEK,IL,Illinois,DeKalb,DEK,41.841905,-88.8569,Y,Northern Illinois Agronomy Research Center,"D. Lindgren, L. Paul",2005
ILDIX,IL,Illinois,DixonSprings,DIX,37.435205,-88.671443,Y,Dixon Springs Agricultural Center,S. Ebelhar,2005
ILFRE,IL,Illinois,Freeport,FRE,42.28,-89.7,N,Keith Hinrichs Farm,K. Hinrichs,2005
ILJOL,IL,Illinois,Joliet,JOL,41.5,-88.1,N,"Farm Management and Operation, Joliet Junior College",J. Wessel,
ILMET,IL,Illinois,Metamora,MET,40.8,-89.41,N,FS North Metamora,K. Carrithers,2005
ILMON,IL,Illinois,Monmouth,MON,40.93358611,-90.723225,Y,Northwestern Illinois Agriculture Research and Demonstration Center,M. Johnson,2005
ILMOR,IL,Illinois,Morris,MOR,41.33516667,-88.38363333,Y,Russ Higgins Farm,R. Higgins,2005
ILORR,IL,Illinois,Orr,ORR,39.805624,-90.823858,Y,"Orr Agricultural Research and Demonstration Center, University of Illinois",Mike Vose,2005
ILSOY,IL,Illinois,SoyFACE,SOY,40.0419,-88.2318,Y,"Research Facility SoyFACE, University of Illinois at Urbana-Champaign and USDA-ARS",Christopher Montes ,2006
ILURB,IL,Illinois,Urbana,URB,40.0895,-88.228657,Y,Southfarms University of Illinois at U-C,D. Lagos-Kutz,2005
INACR,IN,Indiana,ACRE,ACR,40.4704,-86.9939,Y,Agronomy Center for Research and Education,M. Rhainds,2005
INDPA,IN,Indiana,DPAC,DPA,40.254487,-85.15039,Y,Davis Purdue Agriculture Center,J. Boyer,2005
INNEP,IN,Indiana,NEPAC,NEP,41.105142,-85.399086,Y,"North East Purdue Agriculture Center, Purdue University",Phil Walker,2005
INPIT,IN,Indiana,PIT,PIT,40.414042,-86.915776,Y,South Campus Purdue University West Lafayete,,2005
